Method,Percentage,TestAcc
Random,100,0.8399
Herding,100,0.8459
Forgetting,100,0.8401
EL2N,100,0.8327
CCS,100,0.8479
Random,80,0.8297
Herding,80,0.8291
Forgetting,80,0.8356
EL2N,80,0.8458
CCS,80,0.8379
Random,50,0.7901
Herding,50,0.7832
Forgetting,50,0.7785
EL2N,50,0.7806
CCS,50,0.776
Random,25,0.711
Herding,25,0.734
Forgetting,25,0.7064
EL2N,25,0.4135
CCS,25,0.4215
Random,5,0.4783
Herding,5,0.4962
Forgetting,5,0.42
EL2N,5,0.1516
CCS,5,0.1493
