Method,Percentage,TestAcc
Random,100,0.5504
Herding,100,0.5528
Forgetting,100,0.5452
EL2N,100,0.544
CCS,100,0.5318
Random,80,0.5214
Herding,80,0.5137
Forgetting,80,0.532
EL2N,80,0.5242
CCS,80,0.5179
Random,50,0.5045
Herding,50,0.5064
Forgetting,50,0.5058
EL2N,50,0.3661
CCS,50,0.3483
Random,25,0.3945
Herding,25,0.396
Forgetting,25,0.4007
EL2N,25,0.1278
CCS,25,0.1212
Random,5,0.1744
Herding,5,0.1813
Forgetting,5,0.1938
EL2N,5,0.0511
CCS,5,0.0564
