Method,Percentage,TestAcc
Random,100,0.9325
Herding,100,0.9227
Forgetting,100,0.9305
EL2N,100,0.9275
CCS,100,0.9303
Random,80,0.9269
Herding,80,0.923
Forgetting,80,0.9294
EL2N,80,0.9296
CCS,80,0.9235
Random,50,0.9173
Herding,50,0.9175
Forgetting,50,0.9135
EL2N,50,0.9192
CCS,50,0.9188
Random,25,0.896
Herding,25,0.9021
Forgetting,25,0.9021
EL2N,25,0.8791
CCS,25,0.887
Random,5,0.8371
Herding,5,0.8565
Forgetting,5,0.6956
EL2N,5,0.1864
CCS,5,0.1929
